employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Concentrix CVG Corporation,"Mar 25, 2019",179,WARN,,,3 - Workforce Investment Area III,,1964,https://www.kansasworks.com/search/warn_lookups/1964
Sumner Regional Medical Center,"Jan 03, 2019",25,Non-WARN,,,4 - Workforce Investment Area IV,,1965,https://www.kansasworks.com/search/warn_lookups/1965
"Payless ShoeSource, Inc.","Feb 15, 2019",,Non-WARN,,,4 - Workforce Investment Area IV,,1966,https://www.kansasworks.com/search/warn_lookups/1966
Cherry Orchard Furniture,"Jan 29, 2019",9,Non-WARN,,,4 - Workforce Investment Area IV,,1967,https://www.kansasworks.com/search/warn_lookups/1967
Gymboree,"Jan 15, 2019",8,Non-WARN,,,4 - Workforce Investment Area IV,,1968,https://www.kansasworks.com/search/warn_lookups/1968
Midwest Color Graphics,"Apr 03, 2019",5,Non-WARN,,,5 - Workforce Investment Area V,,1971,https://www.kansasworks.com/search/warn_lookups/1971
Eagle Picher Technologies,"Apr 15, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1972,https://www.kansasworks.com/search/warn_lookups/1972
Grandview Products Company Inc.,"Apr 22, 2019",35,Non-WARN,,,5 - Workforce Investment Area V,,1973,https://www.kansasworks.com/search/warn_lookups/1973
ShopKo,"Jan 25, 2019",16,Non-WARN,,,1 - Workforce Investment Area I,,1974,https://www.kansasworks.com/search/warn_lookups/1974
Gun Den,"Dec 19, 2019",2,Non-WARN,,,5 - Workforce Investment Area V,,2016,https://www.kansasworks.com/search/warn_lookups/2016
Aramark,"Apr 16, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1975,https://www.kansasworks.com/search/warn_lookups/1975
Sears Hometown Store,"May 13, 2019",5,Non-WARN,,,5 - Workforce Investment Area V,,1976,https://www.kansasworks.com/search/warn_lookups/1976
Coach's Neighborhood Bar & Grille,"Apr 15, 2019",20,Non-WARN,,,2 - Workforce Investment Area II,,1978,https://www.kansasworks.com/search/warn_lookups/1978
Fargo,"Mar 22, 2019",120,Non-WARN,,,2 - Workforce Investment Area II,,1979,https://www.kansasworks.com/search/warn_lookups/1979
Geary Community Hospital,"May 28, 2019",25,Non-WARN,,,2 - Workforce Investment Area II,,1980,https://www.kansasworks.com/search/warn_lookups/1980
Greenbrier Rail,"Feb 12, 2019",32,Non-WARN,,,2 - Workforce Investment Area II,,1981,https://www.kansasworks.com/search/warn_lookups/1981
Gunderson (Greenbrier) Rail,"Apr 26, 2019",25,Non-WARN,,,2 - Workforce Investment Area II,,1982,https://www.kansasworks.com/search/warn_lookups/1982
Save A Lot,"Dec 18, 2018",12,Non-WARN,,,5 - Workforce Investment Area V,,1927,https://www.kansasworks.com/search/warn_lookups/1927
Sears Hometown,"Dec 07, 2018",6,Non-WARN,,,5 - Workforce Investment Area V,,1925,https://www.kansasworks.com/search/warn_lookups/1925
Long John Silver's,"Oct 26, 2018",10,Non-WARN,,,5 - Workforce Investment Area V,,1917,https://www.kansasworks.com/search/warn_lookups/1917
Dr. Clay Sligh,"Dec 03, 2018",4,Non-WARN,,,5 - Workforce Investment Area V,,1926,https://www.kansasworks.com/search/warn_lookups/1926
"Teva Pharmaceuticals USA, Inc.","Jan 25, 2018",57,WARN,,,3 - Workforce Investment Area III,,1890,https://www.kansasworks.com/search/warn_lookups/1890
Payless Shoesource,"Jan 26, 2018",,WARN,,,2 - Workforce Investment Area II,,1891,https://www.kansasworks.com/search/warn_lookups/1891
Siemens,"Jan 30, 2018",,Non-WARN,,,1 - Workforce Investment Area I,,1893,https://www.kansasworks.com/search/warn_lookups/1893
Sprint,"Mar 09, 2018",120,WARN,,,3 - Workforce Investment Area III,,1894,https://www.kansasworks.com/search/warn_lookups/1894
Kmart,"Jan 04, 2018",60,WARN,,,4 - Workforce Investment Area IV,,1895,https://www.kansasworks.com/search/warn_lookups/1895
Babies R Us,"Jan 23, 2018",25,Non-WARN,,,4 - Workforce Investment Area IV,,1896,https://www.kansasworks.com/search/warn_lookups/1896
Sprint,"Mar 20, 2018",,WARN,,,3 - Workforce Investment Area III,,1898,https://www.kansasworks.com/search/warn_lookups/1898
MB Financial Bank,"Apr 25, 2018",63,WARN,,,3 - Workforce Investment Area III,,1899,https://www.kansasworks.com/search/warn_lookups/1899
Durham School Services,"Apr 25, 2018",97,WARN,,,2 - Workforce Investment Area II,,1900,https://www.kansasworks.com/search/warn_lookups/1900
Fleetcor,"Apr 17, 2018",30,Non-WARN,,,4 - Workforce Investment Area IV,,1901,https://www.kansasworks.com/search/warn_lookups/1901
Dean & Deluca,"May 10, 2018",,WARN,,,3 - Workforce Investment Area III,,1902,https://www.kansasworks.com/search/warn_lookups/1902
"Premiere Global Services, Inc.","May 21, 2018",,WARN,,,3 - Workforce Investment Area III,,1903,https://www.kansasworks.com/search/warn_lookups/1903
Sprint,"May 25, 2018",59,WARN,,,3 - Workforce Investment Area III,,1904,https://www.kansasworks.com/search/warn_lookups/1904
Toys R Us,"Mar 15, 2018",21,WARN,,,4 - Workforce Investment Area IV,,1905,https://www.kansasworks.com/search/warn_lookups/1905
"Pace Analytical Services, LLC","May 25, 2018",11,Non-WARN,,,1 - Workforce Investment Area I,,1906,https://www.kansasworks.com/search/warn_lookups/1906
Walmart,"Jul 09, 2018",,WARN,,,4 - Workforce Investment Area IV,,1907,https://www.kansasworks.com/search/warn_lookups/1907
Pace Analytical Services,"May 25, 2018",,Non-WARN,,,1 - Workforce Investment Area I,,1908,https://www.kansasworks.com/search/warn_lookups/1908
CSRA,"Aug 01, 2018",74,WARN,,,2 - Workforce Investment Area II,,1909,https://www.kansasworks.com/search/warn_lookups/1909
Bombardier Learjet,"Aug 03, 2018",46,Non-WARN,,,4 - Workforce Investment Area IV,,1910,https://www.kansasworks.com/search/warn_lookups/1910
Heroux-Devtek/APPH,"Jul 12, 2018",2,Non-WARN,,,4 - Workforce Investment Area IV,,1912,https://www.kansasworks.com/search/warn_lookups/1912
