,company_name,location,notice_date,employees_affected
448,"DSE Systems, Inc.",Gaffney,5/31/2013,42.0
449,Mortgage Bank,Florence,6/4/2013,573.0
450,"Newman Technology SouthCarolina, Inc.",Aiken,6/7/2013,214.0
451,"Jostens, Inc.",Laurens,6/24/2013,63.0
452,"Spartanburg Steel Products,Inc.",Spartanburg,7/1/2013,64.0
453,Sunland Logistics Solutions,Greenville,7/1/2013,47.0
454,Sunland Staffing,Greenville,7/1/2013,52.0
455,"Capitol ManagementServices, LP",Greenville,07/29/2013,36.0
456,"First Center, LLC",Greenville,07/29/2013,85.0
457,Joy Global,Belton,8/1/2013,77.0
458,Shaw Project ServicesGroup,Aiken,8/6/2013,485.0
459,AREVA Federal ServicesLLC,Aiken,8/6/2013,
460,Filtration Group,York,8/16/2013,96.0
461,Palmetto GBA,Columbia,8/23/2013,126.0
462,Stacy’s Greenhouses,York,9/8/2013,656.0
463,Stacy’s Greenhouses,Pendleton,9/8/2013,61.0
464,"Pepperidge Farm, Inc.",Aiken,9/27/2013,115.0
465,"International AutomotiveComponents, LLC",Greenville,12/20/2013,164.0
466,"General NutritionCompanies, Inc.",Anderson,10/11/2013,50.0
467,CGI Federal,North Charleston,11/30/2013,88.0
468,Piggly Wiggly,Summerville,03/31/2014,85.0
