,company_name,location,notice_date,employees_affected,WARN Type,Address,URL
187,Alorica,,"Mar 02, 2017",50.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1851
188,Alorica,,"Mar 23, 2017",300.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1852
189,Walser Automotive Group,,"Apr 06, 2017",12.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1853
190,City of Wichita,,"Mar 29, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1854
191,JC Penney,,"Mar 17, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1855
192,"Sodexo, Inc.",,"May 01, 2017",151.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1856
193,Scholfield Corporate,,"Apr 25, 2017",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1857
194,Convergys,,"May 02, 2017",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1858
195,JC Penny,,"Apr 03, 2017",30.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1859
196,JC Penny,,"Mar 31, 2017",30.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1860
197,Millard Lumber,,"May 22, 2017",35.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1861
198,DCCCA,Pittsburg,"May 23, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1862
199,Radio Shack,,"Mar 30, 2017",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1863
200,Via Christi,,"May 19, 2017",50.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1864
201,Lee Aerospace,,"Jun 01, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1865
202,Catholic Charities,,"Jun 08, 2017",12.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1866
203,"General Motors, LLC",,"Jun 16, 2017",1053.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1867
204,Excel Industies Inc,,"Jun 15, 2017",270.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1868
205,Sears Holding,,"Jun 22, 2017",,WARN,,https://www.kansasworks.com/search/warn_lookups/1869
206,Sears Holding,,"Jun 22, 2017",13.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1870
