,company_name,location,notice_date
41,Yellow Corporation dba YRC Inc; HRNY Logistics; Holland; New Penn; Reddaway,Multiple,8/23/2023
42,Savarino Companies LLC,Western,8/22/2023
43,CVS Health,New York City,8/18/2023
44,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Hudson Valley,8/18/2023
45,Republic Steel,Western,8/16/2023
46,Charter Communications LLC,Central,8/15/2023
47,"Fallon Health Weinberg, Inc.",Western,8/15/2023
48,"PBS West, LLC",Finger Lakes,8/14/2023
49,29th Street NY Food and Beverage Operating Company LLC,New York City,8/11/2023
50,"Alteryx, Inc.",New York City,8/10/2023
51,Amyris Inc.,New York City,8/7/2023
52,"SDH Education West, LLC",Capital,8/4/2023
53,"Poppin, Inc.",New York City,8/4/2023
54,Gamma North Corporation,Western,8/2/2023
55,Hilton JFK Hotel,New York City,7/31/2023
56,Brookfield BHS Advisors,New York City,7/28/2023
57,St. Joseph's Health at Home,Central,7/28/2023
58,SterRX LLC,North Country,7/27/2023
59,Life Storage d/b/a Extra Space Storage Inc.,Western,7/25/2023
60,Metal Sales Company,New York City,7/20/2023
61,Essity Professional Hygiene North America LLC,Capital,7/20/2023
62,The King's College,New York City,7/18/2023
63,Alliance University,New York City,7/17/2023
64,"Peloton Interactive, Inc.",New York City,7/14/2023
65,"Enzo Clinical Labs, Inc.",Long Island,7/14/2023
66,"PVH Corp., Calvin Klein, Inc., PVH Retail Stores, LLC, PVH Wholesale Corp., and PVH Wholesale New Jersey, Inc.",New York City,7/13/2023
67,Cayuga Home for Children d/b/a Cayuga Centers,New York City,7/12/2023
68,"Enzo Clinical Labs, Inc.",Long Island,7/12/2023
69,The Buffalo News,Western,7/10/2023
70,Ball Corporation Beverage Packaging d/b/a Ball Metal Beverage Container Operations,Hudson Valley,7/6/2023
71,"Sumitovant Biopharma, Inc.",New York City,7/3/2023
72,The New Jewish Home,New York City,7/3/2023
73,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Hudson Valley,6/30/2023
74,David's Bridal LLC,New York City,6/29/2023
75,The New LIFE School,New York City,6/27/2023
76,Gannett (Rochester Democrat & Chronicle),Finger Lakes,6/27/2023
77,Sweetworks Confections LLC,Western ,6/26/2023
78,"Boxed, LLC",New York City,6/22/2023
79,Forman Mills,New York City,6/22/2023
80,Worldwide Protective Products dba Protective Industrial Products,Western,6/22/2023
81,McKesson Medical-Surgical Inc.,Finger Lakes,6/21/2023
82,"SDH Education West, LLC",Hudson Valley,6/20/2023
83,"Bitwise Industries, Inc.",Hudson Valley / Western,6/16/2023
84,Life Storage d/b/a Extra Space Storage Inc.,Western,6/13/2023
85,Los Angeles Times Communications LLC,New York City,6/12/2023
86,"Flatiron Health, Inc.",New York City,6/12/2023
87,"Compass Group USA, Inc. d/b/a Chartwells at Manhattanville College",Hudson Valley,6/12/2023
88,NADAP NYS Inc. - Project ACE Program,New York City,6/9/2023
89,Blue School,New York City,6/7/2023
90,"Ryder Integrated Logistics, Inc.",Southern Tier,6/7/2023
91,HITPS LLC d/b/a Haven Technologies,New York City,6/1/2023
92,"Indian Point Energy Center (IPEC) subsidiary of Holtec International; Holtec Decommissioning International, LLC",Hudson Valley,6/1/2023
93,Trel Restaurant Inc. d/b/a Rosie O'Grady's,New York City,5/31/2023
94,"Fedcap, Inc. - Rikers Island at Rikers Island",New York City,5/31/2023
95,"Meta Platforms, Inc. (formerly Facebook, Inc.)",New York City,5/30/2023
96,Morgan Stanley,New York City,5/30/2023
97,Ball Corporation Beverage Packaging d/b/a Ball Metal Beverage Container Operations,Mid-Hudson,5/25/2023
98,"Teacher Synergy, LLC",New York City,5/25/2023
