,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
240,Staypineapple Hotel Rose and Bottle + K,Portland,2020-03-25 00:00:00,2020-03-19 00:00:00,2.0,Temporary Layoff
241,Staypineapple Hotel Rose and Bottle + K,Portland,2020-03-25 00:00:00,2020-03-16 00:00:00,21.0,Temporary Layoff
242,ALSCO,Eugene,2020-03-20 00:00:00,2020-03-20 00:00:00,58.0,Temporary Layoff
243,Lynx,Aurora,2020-03-25 00:00:00,2020-03-27 00:00:00,6.0,Temporary Layoff
244,Next Adventure,Portland,2020-03-25 00:00:00,2020-03-20 00:00:00,114.0,Temporary Layoff
245,Stanford's - Portland Seafood Company,Portland,2020-03-16 00:00:00,2020-03-18 00:00:00,44.0,Permanent closure
246,Stanford's Restaurant and Bar - Tanasbo,Hillsboro,2020-03-16 00:00:00,2020-03-18 00:00:00,65.0,Temporary Layoff
247,Stanford's - Clackamas,Clackamas,2020-03-16 00:00:00,2020-03-18 00:00:00,56.0,Temporary Layoff
248,Stanford's - Portland - Jantzen,Portland,2020-03-16 00:00:00,2020-03-18 00:00:00,53.0,Temporary Layoff
249,HMS Host,Portland,2020-03-24 00:00:00,2020-03-18 00:00:00,32.0,Temporary Layoff
250,Tualatin Hills Park & Recreation Distri,Beaverton,2020-03-23 00:00:00,2020-05-23 00:00:00,23.0,Reduction
251,Tualatin Hills Park & Recreation Distri,Beaverton,2020-03-23 00:00:00,2020-03-31 00:00:00,30.0,Reduction
252,Tualatin Hills Park & Recreation Distri,Beaverton,2020-03-23 00:00:00,2020-03-23 00:00:00,762.0,Large Layoff - 10 or more workers
253,The Children's Clinic,Portland,2020-03-23 00:00:00,2020-03-19 00:00:00,82.0,Temporary Layoff
254,Marriott City Center,Portland,2020-03-23 00:00:00,2020-03-23 00:00:00,59.0,Temporary Layoff
255,Spieg's Barbers LLC,"Vancouver, WA",2020-03-20 00:00:00,2020-03-18 00:00:00,119.0,Temporary Layoff
