,company_name,location,notice_date,employees_affected,URL
297,Congressman Bruce Poliquin,,"Dec 17, 2018",8.0,https://joblink.maine.gov/search/warn_lookups/167
298,Christmas Tree Acres,,"Dec 09, 2018",,https://joblink.maine.gov/search/warn_lookups/168
299,Access Worldwide,,"Nov 02, 2018",20.0,https://joblink.maine.gov/search/warn_lookups/169
300,Affordable Appliance,,"Dec 05, 2018",2.0,https://joblink.maine.gov/search/warn_lookups/170
301,Liberty Mutual,,"Dec 10, 2018",39.0,https://joblink.maine.gov/search/warn_lookups/171
302,Payless Shoes,,"Dec 07, 2018",,https://joblink.maine.gov/search/warn_lookups/173
303,Times Record,,"Dec 04, 2018",4.0,https://joblink.maine.gov/search/warn_lookups/174
304,ReEnergy Holdings,,"Nov 30, 2018",21.0,https://joblink.maine.gov/search/warn_lookups/175
305,Covenant Health- St. Mary's,,"Nov 20, 2018",3.0,https://joblink.maine.gov/search/warn_lookups/176
306,Verso Paper,,"Nov 01, 2017",150.0,https://joblink.maine.gov/search/warn_lookups/54
307,Marden's,,"Jan 08, 2017",7.0,https://joblink.maine.gov/search/warn_lookups/55
308,Northern Bay Residential Care,,"Jan 01, 2017",20.0,https://joblink.maine.gov/search/warn_lookups/56
309,Northern Girl,,"Mar 03, 2017",9.0,https://joblink.maine.gov/search/warn_lookups/61
310,Macy's,,"Jan 07, 2017",65.0,https://joblink.maine.gov/search/warn_lookups/62
311,Chippewa,,"Feb 03, 2017",,https://joblink.maine.gov/search/warn_lookups/63
312,Hannaford,,"Mar 01, 2017",,https://joblink.maine.gov/search/warn_lookups/65
