,company_name,location,notice_date,employees_affected
383,The Original Korn Popper,Lincoln,12/9/2016,4
384,Piedmont Bistro,Lincoln,12/6/2016,30
385,Sarpy County Landfill,Sarpy County,12/3/2016,10
386,Lukasiewicz Furniture,Farwell,12/3/2016,3
387,Gering Citizen Newspaper,Gering,12/2/2016,2
388,Mission Foods,Omaha,12/1/2016,13
389,USA Steak Buffet,Fremont,11/30/2016,15
390,Dempsey's Burger Pub,Lincoln,11/6/2016,
391,Hastings Entertainment - Grand Island,Hastings Entertainment-Grand Island,10/31/2016,20
392,Hastings Entertainment-Kearney,Hastings Entertainment-Kearney,10/31/2016,
393,Affiliated Foods,Norfolk,10/23/2016,50
394,Orthman Manufacturing,Lexington,10/20/2016,16
395,Chief Transportation Products,Omaha,10/19/2016,23
396,SWBC Mortgage Corporation,Scottsbluff,10/14/2016,15
397,Flatwater Bistro,Lincoln,10/11/2016,46
398,VF Factory Outlet,Nebraska City,10/2/2016,10
399,Bag'n Save/No Frills,York,10/1/2016,40
400,Heartland Craft Mall,Nebraska City,9/30/2016,1
401,Beacon Hills Restaurant,Lincoln,9/30/2016,
402,D.L. Blair,Blair,9/30/2016,14
403,Mystery Bookstore,Omaha,9/30/2016,1
404,Bohemian Cafe,Omaha,9/24/2016,
405,OMALiNK,Lincoln,9/23/2016,
406,Pizza Hut,David City,9/22/2016,13
407,Cabela's Corporation,Cabela's Store - Sidney,9/9/2016,120
408,Bimbo Bakeries - Hastings,Hastings,9/9/2016,121
409,Cabela's x,Sidney,9/9/2016,120
410,SWBC Mortgage Corporation,Scottsbluff,9/2/2016,30
411,North Platte Veterinary Clinic,North Platte,9/1/2016,9
412,Java Pointe,Norfolk,8/31/2016,
413,Austad's Golf,Lincoln,8/21/2016,9
414,RubyTuesday,Omaha,8/13/2016,
415,Korf Continental,Scottsbluff,8/9/2016,3
416,SWBC Mortgage Corporation,Scottsbluff,8/1/2016,35
417,Kmart,Hastings,7/31/2016,
418,The Midwife's Place,Bellevue,7/28/2016,12
419,"Hy-Vee, Inc.",Omaha L St,6/26/2016,
420,Midwest Roofing,Lincoln,6/24/2016,10
421,"Canning Truck Service, Inc.",Fairbury,6/17/2016,14
422,Brentwood Touch Free Auto Wash & Detail,La Vista,6/13/2016,
423,Orscheln Farm & Home Supply,Falls City,6/1/2016,5
